age,n,mean,total,s.d.
0 - 2,69,61.97550725,4276.31,4.180038461
4 - 6,69,61.97550725,4276.31,4.180038461
8 - 12,102,68.58529412,6995.7,4.602632595
15 - 20,119,77.33487395,9202.85,4.640915381
25 - 32,273,78.26882784,21367.39,4.420800288
38 - 43,22,79.93,1758.46,4
48 - 53,22,79.93,1758.46,4
60 - 100,22,79.93,1758.46,4
